title,releaseDate,slug,imageUrl,bandcampUrl,spotifyUrl,appleMusicUrl,beatportUrl,blurb,label,labelUrl,tags,id,credits,about
Torsion,2021-05-07,torsion,https://f4.bcbits.com/img/a2958233205_10.jpg,https://logickal.bandcamp.com/album/torsion,https://open.spotify.com/album/3G6RpGQtFwaxeHfN1ALYCL,https://music.apple.com/us/album/torsion-single/1576071599,https://www.beatport.com/release/torsion/3864337,,Offnominal,https://logickal.bandcamp.com,,4177785744,"All musick by J. Dickens
Cover by A. Fisher",
Phonogrammaton,2021-03-15,phonogrammaton,https://f4.bcbits.com/img/a2515164310_16.jpg,https://logickal.bandcamp.com/album/phonogrammaton,[Record],[Record],[Record],Part of the 2021 March Is For Singles series,D/A73,https://da73imprint.bandcamp.com/,,1743691083,"Music by J. Dickens
Artwork by David Wright Lagrone.",Part of the March Is For Singles series.
April,2020-05-01,�april�,https://f4.bcbits.com/img/a2611415522_2.jpg,https://logickal.bandcamp.com/album/april,https://open.spotify.com/album/1B2n7o1KUwW1JLnThUZMu1,https://music.apple.com/us/album/april-single/1512207215,https://www.beatport.com/release/april/4056111,,Offnominal,https://logickal.bandcamp.com,,1482564824,"Performed and recorded April 25-April 30, 2020
by J. Dickens","I recently picked up a Digitone, a little desktop FM synthesizer made by Elektron. Because of its size, I'm able to keep front and center of the studio all day, where I gradually build up sequences over the course of the day, giving me an interesting soundtrack for whatever else I'm doing. These three tracks are distillations of some of these sketches, suitable for gazing out the window and watching the world turn green while sheltering in place."
ProxOps,2020-03-03,proxops,https://f4.bcbits.com/img/a1159980559_16.jpg,https://logickal.bandcamp.com/album/proxops,https://open.spotify.com/album/01aCbZfwMHLNtdBM5eziDI?si=MbzjKCGVTSCwJW03e8qtSg,https://music.apple.com/us/album/proxops/1512204153,https://www.beatport.com/release/proxops/3860320,Musick to dock imaginary spaceships to.  The last entry in the orbital techno mechanics series.,D/A73,https://da73imprint.bandcamp.com/,,2921581016,All instruments/production by J. Dickens,"Music to dock imaginary spaceships to.

All proceeds from this record will be donated to The Community Foundation of Middle Tennessee to support disaster recovery in the wake of the tornadoes that impacted our community on March 3, 2020. 
https://www.cfmt.org/story/middle-tennessee-emergency-response-fund/"
Senkan / Braking Gate,2020-03-03,Senkan,https://f4.bcbits.com/img/a4057882929_16.jpg,https://logickal.bandcamp.com/album/senkan-braking-gate,https://open.spotify.com/album/1AsYvB091IiKKsFy6Sydn6,https://music.apple.com/us/album/senkan-single/1512427971,https://www.beatport.com/release/senkan/3860321,�Senkan� C/W �Braking Gate (rmx)�,D/A73,https://da73imprint.bandcamp.com/,,3331570853,"All instruments/production barely controlled by J. Dickens

All proceeds from this record will be donated to The Community Foundation of Middle Tennessee to support disaster recovery in the wake of the tornadoes that impacted our community on March 3, 2020. 
www.cfmt.org/story/middle-tennessee-emergency-response-fund/",
An Ever-Expanding Construct Predicated by a Flawed Algorithm,2019-06-22,an-ever-expanding-contstruct,https://f4.bcbits.com/img/a4097150392_16.jpg,https://logickal.bandcamp.com/album/an-ever-expanding-construct-predicated-by-a-flawed-algorithm,,,,Concept and art by Wright Lagrone.  Orbital techno mechanics meets mis-trained AI.,D/A73,https://da73imprint.bandcamp.com/,,,,
drawn_int0,2019-03-31,drawn-int0,https://f4.bcbits.com/img/a2027523687_16.jpg,https://logickal.bandcamp.com/album/drawn-int0,https://open.spotify.com/album/0aCkvjyrUy5tFzShe7n2yF?si=y6qLeyzVTsGj0OJXkZBX3A,https://music.apple.com/us/album/drawn-int0-single/1576068393,https://www.beatport.com/release/drawn_int0/3864341,Digital single �drawn-int0� (Dedicated to Sp00kyD00m) C/W �Strake�,D/A73,https://da73imprint.bandcamp.com/,,92379576,,
Planar,2018-05-18,planar,https://f4.bcbits.com/img/a0060897433_16.jpg,https://logickal.bandcamp.com/album/planar,https://open.spotify.com/album/3OVAup4yHJN0wICoBRERWM?si=ZvnSZSIxQ5WRszlPbMvyQg,https://music.apple.com/us/album/planar/1384239746,https://www.beatport.com/release/planar/4056114,No-input mixer and feedback network improvisations.  Dedicated to the memory of Mr. Natural.,Offnominal,,,764686814,J. Dickens - Synthesis / Delay Networks,"Recorded live May 7-11, 2018.
Edited, mixed and mastered May 11-12 2018.

Dedicated to the memory of Mr. Natural."
Rndz,2017-10-10,rndz,https://f4.bcbits.com/img/a1130305401_16.jpg,https://logickal.bandcamp.com/album/rndz,https://open.spotify.com/album/7rrwXE3E4uM0LqZZMdFWer?si=P_qCwe7xT0K6Op6EDo1-Iw,https://music.apple.com/us/album/rndz-ep/1307368711,https://www.beatport.com/release/rndz/3860307,Orbital Techno Mechanics,Offnominal,,,2544508314,,
Twelve Offerings,2007,twelve-offerings,,,https://open.spotify.com/album/23qF3bixl52270Copc9vg1?si=ZhaOKkrxQxyBmlTs2tuPyQ,https://music.apple.com/us/album/twelve-offerings/267967755,https://www.beatport.com/release/twelve-offerings/84722,Twelve meditations issued in support of the Buddhist monks of Myanmar,dPulse Recordings,,,,,
Sugarknife,2006,sugarknife,,,https://open.spotify.com/album/3ViIxQLAdP5WMSuAdAII7q?si=ppIKsS3vSMiBdCi-By3cvQ,https://music.apple.com/us/album/sugarknife/251759307,https://www.beatport.com/release/sugarknife/1173206,"A meditation on sweetness, with added glitches",dPulse Recordings,,,,,
Krushjob,2006,krushjob,,,https://open.spotify.com/album/27a9d7hDfdE41DmKQboMLC?si=mUZY7_mwQreKvtcOz2lE1w,https://music.apple.com/us/album/krushjob/156855376,https://www.beatport.com/release/sugarknife/1173206,Peak IDM Logickal,dPulse Recordings,,,,,
Tibetanaction,2008,tibetanaction,,,https://open.spotify.com/album/0f8A23576K4ejSpXKAoGYp?si=RflfiJ5_Sv6djwBHFH0MLw,https://music.apple.com/us/album/tibetanaction-ep/284653800,https://www.beatport.com/release/tibetanaction/122428,Free Tibet.,dPulse Recordings,,,,,
Live at Buzz & Click IV,2008,Live-buzz-click-iv,,,https://open.spotify.com/album/0vpL7E8Uh7HFbWg2PXp3hB?si=2qKGUGHiQNiV4JbrK4rSHw,https://music.apple.com/us/album/logickal-live-at-buzz-click-iv/278853807,,"Live improv at the 4th Buzz and Click showcase in Nashville, TN",Mixdown Recordings,,,,,
Windsome,6692332,windsome,https://f4.bcbits.com/img/a2459283564_16.jpg,https://logickal.bandcamp.com/album/windsome,,,,Exclusive ambient recordings for Bandcamp Telemetry Feed subscribers.,Offnominal,https://logickal.bandcamp.com,,,,
BlackOrb Session One,2022-10-23,blackorb-session-one,https://f4.bcbits.com/img/a2484532788_16.jpg,https://logickal.bandcamp.com/album/blackorb-session-one,,,,"Mixed recording of a live YouTube performance, exclusive to Bandcamp telemetry feed subscribers.",Offnominal,https://logickal.bandcamp.com,,,,
20211023,2021-10-23,20211023,https://f4.bcbits.com/img/a0106333440_16.jpg,https://logickal.bandcamp.com/album/20211023,,,,Outtake LP exclusive to Bandcamp Telemetry Feed subscribers.,Offnominal,https://logickal.bandcamp.com,,,,
Phasing Burn II,2020-12-31,phasing-burn-ii,https://f4.bcbits.com/img/a0504760446_16.jpg,https://logickal.bandcamp.com/album/phasing-burn-ii,,,,Outtakes and versions of ProxOps and Rndz material.  Exclusive to Bandcamp telemetry feed subscribers.,Offnominal,https://logickal.bandcamp.com,,,,
Phasing Burn I,2020-11-11,phasing-burn-i,https://f4.bcbits.com/img/a1589528765_16.jpg,https://logickal.bandcamp.com/album/phasing-burn-i,,,,Outtakes and versions of ProxOps and Rndz material.  Exclusive to Bandcamp telemetry feed subscribers.,Offnominal,https://logickal.bandcamp.com,,,,
